# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.2100  1.525503767956264e-01  2.385089312939847e-01  2.844325515349936e-02  4.593633162169927e-01
0.2200  1.546317827170947e-01  1.776454382249615e-01  1.577895086106930e-02  4.719839892647171e-01
0.2300  1.561011522999838e-01  1.161420432670946e-01  6.744487107127837e-03  4.809965472847193e-01
0.2400  1.569533012427625e-01  5.424199048163731e-02  1.471096765705016e-03  4.862623567044024e-01
0.2500  1.571854850959573e-01  -7.810154547860013e-03  3.049925703072922e-05  4.877020942050521e-01
0.2600  1.567974076491934e-01  -6.976947074260489e-02  2.433889523851600e-03  4.852968779420013e-01
0.2700  1.557912196526035e-01  -1.313916479923497e-01  8.631882581072770e-03  4.790884442590340e-01
0.2800  1.541715078873032e-01  -1.924339502431896e-01  1.851541260309918e-02  4.691783690200161e-01
0.2900  1.519452746376971e-01  -2.526561714137772e-01  3.191757047673399e-02  4.557263477344132e-01
0.3000  1.491219076561777e-01  -3.118215803764445e-01  4.861634899423171e-02  4.389475634535629e-01
0.3100  1.457131407481985e-01  -3.696978512866154e-01  6.833825062297021e-02  4.191091857287037e-01
0.3200  1.417330051425705e-01  -4.260579756054046e-01  9.076269928848779e-02  3.965260575252481e-01
0.3300  1.371977718480151e-01  -4.806811522361617e-01  1.155271850575420e-01  3.715556396677264e-01
0.3400  1.321258852323622e-01  -5.333536522856301e-01  1.422330592032104e-01  3.445922939483053e-01
0.3500  1.265378880951684e-01  -5.838696550639734e-01  1.704518870522616e-01  3.160609962889279e-01
0.3600  1.204563385378116e-01  -6.320320520547507e-01  1.997322574122695e-01  2.864105801439312e-01
0.3700  1.139057189671751e-01  -6.776532157155437e-01  2.296069403848086e-01  2.561066175308195e-01
0.3800  1.069123375997228e-01  -7.205557301117956e-01  2.596002800984714e-01  2.256240505714125e-01
0.3900  9.950422286198729e-02  -7.605730805399752e-01  2.892357054210338e-01  1.954396901307180e-01
0.4000  9.171101111111417e-02  -7.975502994607853e-01  3.180432400849941e-01  1.660247000017941e-01
0.4100  8.356382812503402e-02  -8.313445662381598e-01  3.455668939068570e-01  1.378371850759226e-01
0.4200  7.509516483595988e-02  -8.618257583645036e-01  3.713718188902759e-01  1.113150000625056e-01
0.4300  6.633874780314163e-02  -8.888769520463198e-01  3.950511179395778e-01  8.686889161547280e-02
0.4400  5.732940494106484e-02  -9.123948702262427e-01  4.162321996075811e-01  6.487608124473657e-02
0.4500  4.810292703748095e-02  -9.322902763267598e-01  4.345825796667130e-01  4.567438923219093e-02
0.4600  3.869592561172876e-02  -9.484883122167231e-01  4.498150392058640e-01  2.955699104807451e-02
0.4700  2.914568767769274e-02  -9.609287791232688e-01  4.616920592736680e-01  1.676788761576711e-02
