# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -280.000
      1     -422.000
      2     -492.000
      3     -542.000
      4     -578.000
      5     -598.000
      6     -614.000
      7     -614.000
      8     -628.000
      9     -610.000
     10     -622.000
     11     -620.000
     12     -626.000
     13     -632.000
     14     -634.000
     15     -632.000
     16     -640.000
     17     -638.000
     18     -642.000
     19     -638.000
     20     -648.000
     21     -650.000
     22     -644.000
     23     -646.000
     24     -654.000
     25     -652.000
     26     -638.000
     27     -648.000
     28     -634.000
     29     -642.000
     30     -646.000
     31     -646.000
     32     -642.000
     33     -646.000
     34     -656.000
     35     -654.000
     36     -650.000
     37     -662.000
     38     -662.000
     39     -670.000
     40     -672.000
     41     -666.000
     42     -660.000
     43     -670.000
     44     -666.000
     45     -670.000
     46     -658.000
     47     -658.000
     48     -648.000
     49     -652.000
     50     -656.000
     51     -646.000
     52     -648.000
     53     -650.000
     54     -644.000
     55     -646.000
     56     -648.000
     57     -660.000
     58     -668.000
     59     -658.000
     60     -652.000
     61     -658.000
     62     -656.000
     63     -656.000
     64     -650.000
     65     -664.000
     66     -652.000
     67     -664.000
     68     -664.000
     69     -662.000
     70     -658.000
     71     -658.000
     72     -668.000
     73     -664.000
     74     -658.000
     75     -656.000
     76     -660.000
     77     -654.000
     78     -660.000
     79     -662.000
     80     -660.000
     81     -658.000
     82     -656.000
     83     -652.000
     84     -654.000
     85     -660.000
     86     -652.000
     87     -658.000
     88     -660.000
     89     -656.000
     90     -662.000
     91     -662.000
     92     -666.000
     93     -664.000
     94     -666.000
     95     -648.000
     96     -664.000
     97     -666.000
     98     -668.000
     99     -668.000
    100     -660.000
    110     -668.000
    120     -658.000
    130     -652.000
    140     -666.000
    150     -668.000
    160     -662.000
    170     -658.000
    180     -656.000
    190     -674.000
    200     -660.000
    210     -652.000
    220     -660.000
    230     -660.000
    240     -658.000
    250     -664.000
    260     -656.000
    270     -666.000
    280     -668.000
    290     -674.000
    300     -674.000
    310     -660.000
    320     -670.000
    330     -670.000
    340     -666.000
    350     -664.000
    360     -672.000
    370     -666.000
    380     -658.000
    390     -660.000
    400     -654.000
    410     -672.000
    420     -670.000
    430     -672.000
    440     -644.000
    450     -658.000
    460     -666.000
    470     -654.000
    480     -654.000
    490     -670.000
    500     -666.000
    510     -660.000
    520     -668.000
    530     -664.000
    540     -664.000
    550     -672.000
    560     -658.000
    570     -648.000
    580     -666.000
    590     -652.000
    600     -670.000
    610     -670.000
    620     -666.000
    630     -656.000
    640     -662.000
    650     -668.000
    660     -648.000
    670     -646.000
    680     -656.000
    690     -660.000
    700     -648.000
    710     -658.000
    720     -650.000
    730     -670.000
    740     -658.000
    750     -660.000
    760     -668.000
    770     -662.000
    780     -656.000
    790     -660.000
    800     -654.000
    810     -662.000
    820     -668.000
    830     -656.000
    840     -676.000
    850     -676.000
    860     -682.000
    870     -690.000
    880     -672.000
    890     -688.000
    900     -682.000
    910     -684.000
    920     -690.000
    930     -690.000
    940     -704.000
    950     -716.000
    960     -718.000
    970     -704.000
    980     -708.000
    990     -710.000
