# omega0=1, alpha=2
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-02  0.000000000000000e+00
9.119282013323059e-02 4.980439569642831e-02 -4.160503497597678e-03
1.823856402664613e-01 4.926321591038811e-02 -7.595801022398133e-03
2.735784603996920e-01 4.843818109965368e-02 -1.040073318273426e-02
3.647712805329227e-01 4.738287558128175e-02 -1.265910927488174e-02
4.559641006661534e-01 4.614369764042203e-02 -1.444491048716547e-02
5.471569207993838e-01 4.476070574581343e-02 -1.582336744097997e-02
6.383497409326140e-01 4.326837174784157e-02 -1.685192466362917e-02
7.295425610658441e-01 4.169625084133458e-02 -1.758110340192314e-02
8.207353811990743e-01 4.006957708512694e-02 -1.805527309893382e-02
9.119282013323045e-01 3.840979237512177e-02 -1.831334086155731e-02
1.003121021465535e+00 3.673501595905079e-02 -1.838936733737993e-02
1.094313841598765e+00 3.506046085181556e-02 -1.831311659027036e-02
1.185506661731995e+00 3.339880285313440e-02 -1.811054680983059e-02
1.276699481865225e+00 3.176050727763315e-02 -1.780424800513719e-02
1.367892301998455e+00 3.015411797539466e-02 -1.741383221295199e-02
1.459085122131685e+00 2.858651274267490e-02 -1.695628118973188e-02
1.550277942264916e+00 2.706312879280894e-02 -1.644625605042159e-02
1.641470762398146e+00 2.558816157151727e-02 -1.589637286047006e-02
1.732663582531376e+00 2.416473985454048e-02 -1.531744777631091e-02
1.823856402664606e+00 2.279507975484131e-02 -1.471871495950817e-02
1.915049222797836e+00 2.148061998793964e-02 -1.410802015699542e-02
2.006242042931067e+00 2.022214049405838e-02 -1.349199254073772e-02
2.097434863064297e+00 1.901986629173691e-02 -1.287619713142344e-02
2.188627683197527e+00 1.787355823678333e-02 -1.226526988943916e-02
2.279820503330757e+00 1.678259218051839e-02 -1.166303733965874e-02
2.371013323463987e+00 1.574602786008030e-02 -1.107262240201165e-02
2.462206143597217e+00 1.476266870919610e-02 -1.049653792514474e-02
2.553398963730448e+00 1.383111364855612e-02 -9.936769263738505e-03
2.644591783863678e+00 1.294980179920953e-02 -9.394847099364402e-03
2.735784603996908e+00 1.211705095883673e-02 -8.871911578539164e-03
2.826977424130138e+00 1.133109058810274e-02 -8.368768728375102e-03
2.918170244263368e+00 1.059008997143037e-02 -7.885940008621766e-03
3.009363064396598e+00 9.892182142447246e-03 -7.423705767757539e-03
3.100555884529828e+00 9.235484098150058e-03 -6.982143289054983e-03
3.191748704663059e+00 8.618113766680644e-03 -6.561160039253788e-03
3.282941524796289e+00 8.038204140791275e-03 -6.160522666771280e-03
3.374134344929519e+00 7.493914941934492e-03 -5.779882237490180e-03
3.465327165062749e+00 6.983442137857482e-03 -5.418796143393590e-03
3.556519985195979e+00 6.505025599082321e-03 -5.076747072044593e-03
3.647712805329209e+00 6.056955146236847e-03 -4.753159382572295e-03
3.738905625462440e+00 5.637575210439067e-03 -4.447413195924376e-03
3.830098445595670e+00 5.245288302447847e-03 -4.158856473225263e-03
3.921291265728900e+00 4.878557462729909e-03 -3.886815325732350e-03
4.012484085862130e+00 4.535907843648825e-03 -3.630602772743993e-03
4.103676905995361e+00 4.215927556378760e-03 -3.389526139553535e-03
4.194869726128591e+00 3.917267898634943e-03 -3.162893265867368e-03
4.286062546261821e+00 3.638643064671368e-03 -2.950017675746015e-03
4.377255366395051e+00 3.378829426023607e-03 -2.750222842846179e-03
4.468448186528281e+00 3.136664459991443e-03 -2.562845669323710e-03
4.559641006661511e+00 2.911045392701309e-03 -2.387239283009010e-03
4.650833826794742e+00 2.700927614618161e-03 -2.222775245213921e-03
4.742026646927972e+00 2.505322918461081e-03 -2.068845250616349e-03
