# omega0=1, alpha=1
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-02  0.000000000000000e+00
9.119282013323059e-02 4.979849772335850e-02 -4.350073661191164e-03
1.823856402664613e-01 4.921918629048147e-02 -8.286493484896115e-03
2.735784603996920e-01 4.829959060079968e-02 -1.181408373885469e-02
3.647712805329227e-01 4.707666469304588e-02 -1.494048832952832e-02
4.559641006661534e-01 4.558654866206733e-02 -1.767586379444267e-02
5.471569207993838e-01 4.386435325023941e-02 -2.003257965377747e-02
6.383497409326140e-01 4.194397136637004e-02 -2.202492774950988e-02
7.295425610658441e-01 3.985791564671724e-02 -2.366884197949625e-02
8.207353811990743e-01 3.763718105376620e-02 -2.498162963125912e-02
9.119282013323045e-01 3.531113140718181e-02 -2.598171533324408e-02
1.003121021465535e+00 3.290740865655658e-02 -2.668839846750726e-02
1.094313841598765e+00 3.045186363610408e-02 -2.712162472517349e-02
1.185506661731995e+00 2.796850698635929e-02 -2.730177233300229e-02
1.276699481865225e+00 2.547947888641649e-02 -2.724945333491112e-02
1.367892301998455e+00 2.300503621151946e-02 -2.698533017565665e-02
1.459085122131685e+00 2.056355571422007e-02 -2.652994770476368e-02
1.550277942264916e+00 1.817155182215351e-02 -2.590358059720917e-02
1.641470762398146e+00 1.584370765104794e-02 -2.512609607352720e-02
1.732663582531376e+00 1.359291784717127e-02 -2.421683169624510e-02
1.823856402664606e+00 1.143034189826302e-02 -2.319448792229935e-02
1.915049222797836e+00 9.365466585310749e-03 -2.207703500271937e-02
2.006242042931067e+00 7.406176288480909e-03 -2.088163374175911e-02
2.097434863064297e+00 5.558829908245718e-03 -1.962456955806138e-02
2.188627683197527e+00 3.828343216386729e-03 -1.832119923049771e-02
2.279820503330757e+00 2.218275510219967e-03 -1.698590966104962e-02
2.371013323463987e+00 7.309195062001078e-04 -1.563208794635724e-02
2.462206143597217e+00 -6.326065248365546e-04 -1.427210201810625e-02
2.553398963730448e+00 -1.872265309969619e-03 -1.291729108988016e-02
2.644591783863678e+00 -2.989006672983583e-03 -1.157796513399990e-02
2.735784603996908e+00 -3.984673967448866e-03 -1.026341260565206e-02
2.826977424130138e+00 -4.861911560513835e-03 -8.981915632653549e-03
2.918170244263368e+00 -5.624074012847169e-03 -7.740771896857362e-03
3.009363064396598e+00 -6.275137530164167e-03 -6.546322446790863e-03
3.100555884529828e+00 -6.819614193248085e-03 -5.403984699947139e-03
3.191748704663059e+00 -7.262469406785428e-03 -4.318289916544412e-03
3.282941524796289e+00 -7.609042943058343e-03 -3.292924453868949e-03
3.374134344929519e+00 -7.864973894905166e-03 -2.330774140894019e-03
3.465327165062749e+00 -8.036129793643206e-03 -1.433971146127120e-03
3.556519985195979e+00 -8.128540092064934e-03 -6.039427470253641e-04
3.647712805329209e+00 -8.148334160340413e-03 1.585385536779040e-04
3.738905625462440e+00 -8.101683893810500e-03 8.533040812428594e-04
3.830098445595670e+00 -7.994750986321847e-03 1.480737689428769e-03
3.921291265728900e+00 -7.833638880983786e-03 2.041724546673612e-03
4.012484085862130e+00 -7.624349372032833e-03 2.537600407198465e-03
4.103676905995361e+00 -7.372743796857383e-03 2.970101727423244e-03
4.194869726128591e+00 -7.084508726120825e-03 3.341316949814701e-03
