10    0.00000000
20    0.00000000
40    0.00000000
80    0.00000010
160    0.00000000
320    0.00000038
640    0.00000027
1280    0.00000049
2560    0.00000057
5120    0.00000052
10240    0.00000146
20480    0.00000036
40960    0.00000562
81920    0.00000987
163840    0.00007071
327680    0.00019101
655360    0.00120900
1310720    0.00066269
2621440    0.00302861
5242880    0.04101704
10485760    0.08274660
20971520    0.12393728
41943040    0.19007802
83886080    0.19901061
167772160    0.19901061
335544320    0.19901061
671088640    0.19901061
